ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00058740;Alexander;Meyer;A. Meyer;Alexander Meyer;Borussia Dortmund;GOALKEEPER;800000;16;2.5
pl-k00058938;Christopher;Trimmel;Trimmel;Christopher Trimmel;1. FC Union Berlin;DEFENDER;1700000;86;3.64
pl-k00058963;Thomas;Dähne;Dähne;Thomas Dähne;Holstein Kiel;GOALKEEPER;800000;52;3.06
pl-k00059041;Andrej;Kramaric;Kramaric;Andrej Kramaric;TSG Hoffenheim;FORWARD;5000000;186;3.52
pl-k00059149;Jonas;Hafner;Hafner;Jonas Hafner;1. FC Heidenheim;GOALKEEPER;999000000;0;0.0
pl-k00059580;Kevin;Behrens;K. Behrens;Kevin Behrens;VfL Wolfsburg;FORWARD;1800000;35;5.0
pl-k00060322;Raphael;Framberger;Framberger;Raphael Framberger;FC Augsburg;DEFENDER;999000000;0;0.0
pl-k00060522;Stefan;Bell;Bell;Stefan Bell;1. FSV Mainz 05;DEFENDER;1600000;85;3.31
pl-k00060535;Leonardo;Bittencourt;Bittencourt;Leonardo Bittencourt;Werder Bremen;MIDFIELDER;1700000;77;3.69
pl-k00063586;Alexander;Schwolow;Schwolow;Alexander Schwolow;1. FC Union Berlin;GOALKEEPER;800000;24;3.5
pl-k00063777;Lukas;Kübler;Kübler;Lukas Kübler;SC Freiburg;DEFENDER;1700000;129;3.57
pl-k00063799;Michael;Gregoritsch;Gregoritsch;Michael Gregoritsch;SC Freiburg;FORWARD;3000000;64;3.43
pl-k00064040;Maximilian;Arnold;Arnold;Maximilian Arnold;VfL Wolfsburg;MIDFIELDER;2600000;142;3.41
pl-k00064496;Denis;Linsmayer;Linsmayer;Denis Linsmayer;1. FSV Mainz 05;MIDFIELDER;999000000;0;0.0
pl-k00064802;Kevin;Müller;Ke. Müller;Kevin Müller;1. FC Heidenheim;GOALKEEPER;3400000;189;3.2
pl-k00065090;Anthony;Jung;A. Jung;Anthony Jung;Werder Bremen;DEFENDER;2000000;66;3.83
pl-k00065134;Philipp;Pless;Pless;Philipp Pless;1. FC Heidenheim;GOALKEEPER;999000000;0;0.0
pl-k00065503;Steven;Skrzybski;Skrzybski;Steven Skrzybski;Holstein Kiel;MIDFIELDER;2200000;116;3.5
pl-k00065896;Robin;Zentner;Zentner;Robin Zentner;1. FSV Mainz 05;GOALKEEPER;2800000;247;2.78
pl-k00066084;Pavel;Kaderabek;Kaderabek;Pavel Kaderabek;TSG Hoffenheim;DEFENDER;2200000;66;3.83
pl-k00066111;Serkan;Özgür;Özgür;Serkan Özgür;1. FC Heidenheim;FORWARD;999000000;0;0.0
pl-k00066249;Stefan;Lainer;Lainer;Stefan Lainer;Bor. Mönchengladbach;DEFENDER;1400000;47;3.88
pl-k00066531;Philipp;Hofmann;P. Hofmann;Philipp Hofmann;VfL Bochum;FORWARD;1800000;86;3.96
pl-k00066745;Niklas;Süle;Süle;Niklas Süle;Borussia Dortmund;DEFENDER;3000000;66;3.27
pl-k00066753;Serge;Gnabry;Gnabry;Serge Gnabry;Bayern München;MIDFIELDER;4000000;155;3.0
pl-k00066754;Leon;Goretzka;Goretzka;Leon Goretzka;Bayern München;MIDFIELDER;4200000;113;3.31
pl-k00067055;Hasan;Tuzcu;Tuzcu;Hasan Tuzcu;1. FC Union Berlin;DEFENDER;999000000;0;0.0
pl-k00067144;Patrick;Drewes;Drewes;Patrick Drewes;VfL Bochum;GOALKEEPER;2000000;92;3.45
pl-k00067514;Kevin;Stöger;Stöger;Kevin Stöger;Bor. Mönchengladbach;MIDFIELDER;3500000;108;3.57
pl-k00067724;Kevin;Akpoguma;Akpoguma;Kevin Akpoguma;TSG Hoffenheim;DEFENDER;1700000;80;3.78
pl-k00068029;Jonas;Hofmann;Hofmann;Jonas Hofmann;Bayer 04 Leverkusen;MIDFIELDER;4000000;36;3.64
